,obj_value
0,tensor(0.0009)
1,tensor(0.0082)
2,tensor(0.0094)
3,tensor(0.0129)
4,tensor(0.0226)
5,tensor(0.0341)
6,tensor(0.0390)
7,tensor(0.0366)
8,tensor(0.0322)
9,tensor(0.0365)
10,tensor(0.0459)
11,tensor(0.0451)
12,tensor(0.0489)
13,tensor(0.0558)
14,tensor(0.0592)
15,tensor(0.0540)
16,tensor(0.0596)
17,tensor(0.0536)
18,tensor(0.0630)
19,tensor(0.0625)
20,tensor(0.0488)
21,tensor(0.0372)
22,tensor(0.0391)
23,tensor(0.0413)
24,tensor(0.0413)
25,tensor(0.0321)
26,tensor(0.0359)
27,tensor(0.0446)
28,tensor(0.0490)
29,tensor(0.0480)
30,tensor(0.0570)
31,tensor(0.0535)
32,tensor(0.0558)
33,tensor(0.0550)
34,tensor(0.0539)
35,tensor(0.0444)
36,tensor(0.0414)
37,tensor(0.0365)
38,tensor(0.0446)
39,tensor(0.0429)
40,tensor(0.0415)
41,tensor(0.0596)
42,tensor(0.0630)
43,tensor(0.0574)
44,tensor(0.0646)
45,tensor(0.0632)
46,tensor(0.0647)
47,tensor(0.0698)
48,tensor(0.0723)
49,tensor(0.0750)
50,tensor(0.0975)
51,tensor(0.0950)
52,tensor(0.1064)
53,tensor(0.1007)
54,tensor(0.0992)
55,tensor(0.1000)
56,tensor(0.0978)
57,tensor(0.1000)
58,tensor(0.1111)
59,tensor(0.1012)
60,tensor(0.0929)
61,tensor(0.1045)
62,tensor(0.1035)
63,tensor(0.0999)
64,tensor(0.1035)
65,tensor(0.0966)
66,tensor(0.0990)
67,tensor(0.0990)
68,tensor(0.0946)
69,tensor(0.0856)
70,tensor(0.0926)
71,tensor(0.0976)
72,tensor(0.0985)
73,tensor(0.1058)
74,tensor(0.1058)
75,tensor(0.1078)
76,tensor(0.1263)
77,tensor(0.1288)
78,tensor(0.1293)
79,tensor(0.1475)
80,tensor(0.1527)
81,tensor(0.1564)
82,tensor(0.1518)
83,tensor(0.1488)
84,tensor(0.1542)
85,tensor(0.1500)
86,tensor(0.1545)
87,tensor(0.1513)
88,tensor(0.1592)
89,tensor(0.1594)
90,tensor(0.1570)
91,tensor(0.1546)
92,tensor(0.1542)
93,tensor(0.1459)
94,tensor(0.1547)
95,tensor(0.1452)
96,tensor(0.1494)
97,tensor(0.1564)
98,tensor(0.1558)
99,tensor(0.1501)
100,tensor(0.1541)
101,tensor(0.1467)
102,tensor(0.1767)
103,tensor(0.1720)
104,tensor(0.1868)
105,tensor(0.1921)
106,tensor(0.1943)
107,tensor(0.1917)
108,tensor(0.1979)
109,tensor(0.1927)
110,tensor(0.1844)
111,tensor(0.1870)
112,tensor(0.1727)
113,tensor(0.1858)
114,tensor(0.1951)
115,tensor(0.1862)
116,tensor(0.1874)
117,tensor(0.1966)
118,tensor(0.2092)
119,tensor(0.2098)
120,tensor(0.2144)
121,tensor(0.2120)
122,tensor(0.2024)
123,tensor(0.2103)
124,tensor(0.2029)
125,tensor(0.2063)
126,tensor(0.2080)
127,tensor(0.2052)
128,tensor(0.2048)
129,tensor(0.2007)
130,tensor(0.2085)
131,tensor(0.2014)
132,tensor(0.1982)
133,tensor(0.2020)
134,tensor(0.1994)
135,tensor(0.1972)
136,tensor(0.1940)
137,tensor(0.2031)
138,tensor(0.2139)
139,tensor(0.2119)
140,tensor(0.2113)
141,tensor(0.2114)
142,tensor(0.1951)
143,tensor(0.2108)
144,tensor(0.2073)
145,tensor(0.1987)
146,tensor(0.2096)
147,tensor(0.1884)
148,tensor(0.1835)
149,tensor(0.1778)
150,tensor(0.1824)
151,tensor(0.1804)
152,tensor(0.1807)
153,tensor(0.1863)
154,tensor(0.1765)
155,tensor(0.1647)
156,tensor(0.1586)
157,tensor(0.1704)
158,tensor(0.1761)
159,tensor(0.1544)
160,tensor(0.1592)
161,tensor(0.1476)
162,tensor(0.1562)
163,tensor(0.1556)
164,tensor(0.1627)
165,tensor(0.1719)
166,tensor(0.1639)
167,tensor(0.1797)
168,tensor(0.1742)
169,tensor(0.1661)
170,tensor(0.1588)
171,tensor(0.1613)
172,tensor(0.1656)
173,tensor(0.1600)
174,tensor(0.1640)
175,tensor(0.1515)
176,tensor(0.1552)
177,tensor(0.1353)
178,tensor(0.1337)
179,tensor(0.1130)
180,tensor(0.1035)
181,tensor(0.1020)
182,tensor(0.1098)
183,tensor(0.1198)
