,obj_value
266,tensor(0.0780)
267,tensor(0.0878)
268,tensor(0.0881)
269,tensor(0.0872)
270,tensor(0.0866)
271,tensor(0.0879)
272,tensor(0.0886)
273,tensor(0.0856)
274,tensor(0.0870)
275,tensor(0.0867)
276,tensor(0.0829)
277,tensor(0.0865)
278,tensor(0.0853)
279,tensor(0.0857)
280,tensor(0.0865)
281,tensor(0.0879)
282,tensor(0.0871)
283,tensor(0.0905)
284,tensor(0.1076)
285,tensor(0.1035)
286,tensor(0.1008)
287,tensor(0.1043)
288,tensor(0.1057)
289,tensor(0.0913)
290,tensor(0.0910)
291,tensor(0.0932)
292,tensor(0.1006)
293,tensor(0.1064)
294,tensor(0.1098)
295,tensor(0.1134)
296,tensor(0.1113)
297,tensor(0.1035)
298,tensor(0.1156)
299,tensor(0.1134)
300,tensor(0.1187)
301,tensor(0.1231)
302,tensor(0.1195)
303,tensor(0.1227)
304,tensor(0.1263)
305,tensor(0.1278)
306,tensor(0.1308)
307,tensor(0.1241)
308,tensor(0.1254)
309,tensor(0.1265)
310,tensor(0.1291)
311,tensor(0.1260)
312,tensor(0.1269)
313,tensor(0.1277)
314,tensor(0.1282)
315,tensor(0.1328)
316,tensor(0.0772)
317,tensor(0.0775)
318,tensor(0.0804)
319,tensor(0.0632)
320,tensor(0.0520)
321,tensor(0.0471)
322,tensor(0.0429)
323,tensor(0.0473)
324,tensor(0.0471)
325,tensor(0.0912)
326,tensor(0.0870)
327,tensor(0.0842)
328,tensor(0.0753)
329,tensor(0.0768)
330,tensor(0.0735)
331,tensor(0.0704)
332,tensor(0.0689)
333,tensor(0.0701)
334,tensor(0.0678)
335,tensor(0.0700)
336,tensor(0.0708)
337,tensor(0.0687)
338,tensor(0.0610)
339,tensor(0.0588)
340,tensor(0.0584)
341,tensor(0.0560)
342,tensor(0.0508)
343,tensor(0.0417)
344,tensor(0.0441)
345,tensor(0.0446)
346,tensor(0.0441)
347,tensor(0.0423)
348,tensor(0.0468)
349,tensor(0.0470)
350,tensor(0.0550)
351,tensor(0.0457)
352,tensor(0.0515)
353,tensor(0.0541)
354,tensor(0.0584)
355,tensor(0.0581)
356,tensor(0.0505)
357,tensor(0.0541)
358,tensor(0.0553)
359,tensor(0.0574)
360,tensor(0.0586)
361,tensor(0.0524)
362,tensor(0.0533)
363,tensor(0.0580)
364,tensor(0.0610)
365,tensor(0.0620)
366,tensor(0.0580)
367,tensor(0.0539)
368,tensor(0.0594)
369,tensor(0.0556)
370,tensor(0.0577)
371,tensor(0.0556)
372,tensor(0.0437)
373,tensor(0.0467)
374,tensor(0.0529)
375,tensor(0.0512)
376,tensor(0.0506)
377,tensor(0.0482)
378,tensor(0.0501)
379,tensor(0.0531)
380,tensor(0.0480)
381,tensor(0.0463)
382,tensor(0.0466)
383,tensor(0.0503)
384,tensor(0.0532)
385,tensor(0.0518)
386,tensor(0.0559)
387,tensor(0.0464)
388,tensor(0.0518)
389,tensor(0.0517)
390,tensor(0.0537)
391,tensor(0.0571)
392,tensor(0.0527)
393,tensor(0.0526)
394,tensor(0.0498)
395,tensor(0.0495)
396,tensor(0.0510)
397,tensor(0.0447)
398,tensor(0.0477)
399,tensor(0.0502)
400,tensor(0.0469)
401,tensor(0.0481)
402,tensor(0.0474)
403,tensor(0.0494)
404,tensor(0.0462)
405,tensor(0.0413)
406,tensor(0.0481)
407,tensor(0.0480)
408,tensor(0.0464)
409,tensor(0.0478)
410,tensor(0.0471)
411,tensor(0.0476)
