,obj_value
0,tensor(0.0009)
1,tensor(0.0056)
2,tensor(0.0019)
3,tensor(0.0057)
4,tensor(0.0072)
5,tensor(0.0091)
6,tensor(0.0066)
7,tensor(0.0047)
8,tensor(0.0137)
9,tensor(0.0160)
10,tensor(0.0227)
11,tensor(0.0161)
12,tensor(0.0302)
13,tensor(0.0321)
14,tensor(0.0439)
15,tensor(0.0471)
16,tensor(0.0472)
17,tensor(0.0435)
18,tensor(0.0462)
19,tensor(0.0469)
20,tensor(0.0508)
21,tensor(0.0458)
22,tensor(0.0558)
23,tensor(0.0522)
24,tensor(0.0507)
25,tensor(0.0531)
26,tensor(0.0504)
27,tensor(0.0412)
28,tensor(0.0382)
29,tensor(0.0355)
30,tensor(0.0299)
31,tensor(0.0330)
32,tensor(0.0293)
33,tensor(0.0219)
34,tensor(0.0281)
35,tensor(0.0295)
36,tensor(0.0175)
37,tensor(0.0166)
38,tensor(0.0192)
39,tensor(0.0329)
40,tensor(0.0360)
41,tensor(0.0230)
42,tensor(0.0302)
43,tensor(0.0238)
44,tensor(0.0233)
45,tensor(0.0268)
46,tensor(0.0267)
47,tensor(0.0294)
48,tensor(0.0326)
49,tensor(0.0315)
50,tensor(0.0415)
51,tensor(0.0432)
52,tensor(0.0420)
53,tensor(0.0498)
54,tensor(0.0516)
55,tensor(0.0505)
56,tensor(0.0550)
57,tensor(0.0595)
58,tensor(0.0670)
59,tensor(0.0644)
60,tensor(0.0657)
61,tensor(0.0640)
62,tensor(0.0682)
63,tensor(0.0657)
64,tensor(0.0729)
65,tensor(0.0734)
66,tensor(0.0748)
67,tensor(0.0721)
68,tensor(0.0766)
69,tensor(0.0864)
70,tensor(0.0853)
71,tensor(0.0883)
72,tensor(0.0819)
73,tensor(0.0752)
74,tensor(0.0753)
75,tensor(0.0802)
76,tensor(0.1014)
77,tensor(0.1079)
78,tensor(0.1095)
79,tensor(0.1229)
80,tensor(0.1131)
81,tensor(0.1298)
82,tensor(0.1182)
83,tensor(0.1295)
84,tensor(0.1364)
85,tensor(0.1332)
86,tensor(0.1382)
87,tensor(0.1384)
88,tensor(0.1434)
89,tensor(0.1434)
90,tensor(0.1474)
91,tensor(0.1492)
92,tensor(0.1528)
93,tensor(0.1559)
94,tensor(0.1792)
95,tensor(0.1818)
96,tensor(0.1759)
97,tensor(0.1781)
98,tensor(0.1860)
99,tensor(0.1846)
100,tensor(0.1970)
101,tensor(0.1978)
102,tensor(0.2057)
103,tensor(0.2012)
104,tensor(0.2049)
105,tensor(0.1968)
106,tensor(0.2015)
107,tensor(0.2043)
108,tensor(0.2059)
109,tensor(0.1964)
110,tensor(0.1886)
111,tensor(0.1831)
112,tensor(0.1808)
113,tensor(0.1881)
114,tensor(0.1755)
115,tensor(0.1793)
116,tensor(0.1767)
117,tensor(0.1721)
118,tensor(0.1711)
119,tensor(0.1658)
120,tensor(0.1764)
121,tensor(0.1885)
122,tensor(0.1821)
123,tensor(0.1742)
124,tensor(0.1691)
125,tensor(0.1853)
126,tensor(0.1872)
127,tensor(0.1816)
128,tensor(0.1874)
129,tensor(0.1857)
130,tensor(0.1863)
131,tensor(0.1817)
132,tensor(0.1811)
133,tensor(0.1999)
134,tensor(0.2043)
135,tensor(0.1959)
136,tensor(0.2001)
137,tensor(0.2183)
138,tensor(0.2166)
139,tensor(0.2073)
140,tensor(0.2253)
141,tensor(0.2289)
142,tensor(0.2218)
143,tensor(0.2204)
144,tensor(0.2185)
145,tensor(0.2245)
146,tensor(0.2175)
147,tensor(0.2176)
148,tensor(0.2200)
149,tensor(0.2189)
150,tensor(0.2167)
151,tensor(0.2221)
152,tensor(0.2245)
153,tensor(0.2198)
154,tensor(0.2160)
155,tensor(0.2003)
156,tensor(0.1990)
157,tensor(0.1974)
158,tensor(0.1916)
159,tensor(0.2023)
160,tensor(0.2015)
161,tensor(0.2019)
162,tensor(0.1916)
163,tensor(0.1902)
164,tensor(0.1774)
165,tensor(0.1728)
166,tensor(0.1736)
167,tensor(0.1804)
168,tensor(0.1772)
169,tensor(0.1788)
170,tensor(0.1923)
171,tensor(0.1981)
172,tensor(0.1934)
173,tensor(0.1936)
174,tensor(0.1949)
175,tensor(0.1872)
176,tensor(0.1913)
177,tensor(0.1948)
178,tensor(0.1919)
179,tensor(0.1946)
180,tensor(0.1932)
181,tensor(0.2019)
182,tensor(0.2031)
183,tensor(0.2030)
184,tensor(0.2146)
185,tensor(0.2098)
186,tensor(0.2057)
187,tensor(0.2175)
188,tensor(0.2178)
189,tensor(0.2214)
190,tensor(0.2329)
191,tensor(0.2346)
192,tensor(0.2378)
193,tensor(0.2310)
194,tensor(0.2239)
195,tensor(0.2184)
196,tensor(0.2104)
197,tensor(0.2069)
198,tensor(0.2057)
199,tensor(0.2094)
200,tensor(0.2087)
201,tensor(0.2062)
202,tensor(0.2070)
203,tensor(0.2010)
204,tensor(0.2005)
205,tensor(0.2019)
