,obj_value
0,-2.384185791015625e-06
1,0.0002875328063964844
2,0.0009140968322753906
3,0.0010099411010742188
4,0.0016570091247558594
5,0.0022134780883789062
6,0.002384185791015625
7,0.00238800048828125
8,0.0019860267639160156
9,0.0021576881408691406
10,0.002094268798828125
11,0.0024328231811523438
12,0.0024247169494628906
13,0.003081798553466797
14,0.0031347274780273438
15,0.0033197402954101562
16,0.0038290023803710938
17,0.004082679748535156
18,0.004266262054443359
19,0.004259586334228516
20,0.0044879913330078125
21,0.004502296447753906
22,0.004595756530761719
23,0.004303932189941406
24,0.003997325897216797
25,0.005169391632080078
26,0.004845142364501953
27,0.0041713714599609375
28,0.004169464111328125
29,0.004345893859863281
30,0.004459857940673828
31,0.004242420196533203
32,0.004021644592285156
33,0.003998279571533203
34,0.004256248474121094
35,0.004197597503662109
36,0.004523754119873047
37,0.004660129547119141
38,0.004689216613769531
39,0.004714012145996094
40,0.004848957061767578
41,0.004794597625732422
42,0.004736423492431641
43,0.004923820495605469
44,0.004939079284667969
45,0.004691600799560547
46,0.004613399505615234
47,0.005433559417724609
48,0.005251407623291016
49,0.005314350128173828
50,0.005392551422119141
51,0.005738258361816406
52,0.005892753601074219
53,0.006116390228271484
54,0.006260871887207031
55,0.006461620330810547
56,0.005881786346435547
57,0.0062694549560546875
58,0.006186962127685547
59,0.006007194519042969
60,0.006548404693603516
61,0.006363391876220703
62,0.006379127502441406
63,0.006386280059814453
64,0.006253719329833984
65,0.006230354309082031
66,0.006321907043457031
67,0.00627899169921875
68,0.006385326385498047
69,0.006186008453369141
70,0.005734443664550781
71,0.005688190460205078
72,0.005604743957519531
73,0.005665779113769531
74,0.005785942077636719
75,0.005845069885253906
76,0.006347179412841797
77,0.00612640380859375
78,0.006047248840332031
79,0.006237030029296875
80,0.006541252136230469
81,0.006655693054199219
82,0.007081508636474609
83,0.007288455963134766
84,0.007472515106201172
85,0.0074214935302734375
86,0.007488250732421875
87,0.007578849792480469
88,0.00763702392578125
89,0.007584095001220703
90,0.00830221176147461
91,0.008450031280517578
92,0.008584976196289062
93,0.008862495422363281
94,0.009255409240722656
95,0.009229660034179688
96,0.00939321517944336
97,0.008952617645263672
98,0.009136199951171875
99,0.009303569793701172
100,0.009299755096435547
101,0.009172439575195312
102,0.009093761444091797
103,0.00921487808227539
104,0.009183406829833984
105,0.008830070495605469
106,0.00911092758178711
107,0.009456634521484375
108,0.009611129760742188
109,0.009883880615234375
110,0.009932994842529297
111,0.009623527526855469
112,0.009984016418457031
113,0.010134696960449219
114,0.010066509246826172
115,0.010643959045410156
116,0.010703086853027344
117,0.010884284973144531
118,0.011324882507324219
119,0.011409759521484375
120,0.011790275573730469
121,0.011842727661132812
122,0.012058258056640625
123,0.012163639068603516
124,0.012768268585205078
125,0.012194633483886719
126,0.012290000915527344
127,0.01238393783569336
128,0.012550830841064453
129,0.012674808502197266
130,0.012679576873779297
131,0.012523651123046875
132,0.012526512145996094
133,0.012198448181152344
134,0.012080192565917969
135,0.011981964111328125
136,0.011927604675292969
137,0.011943340301513672
138,0.012281417846679688
139,0.012888908386230469
140,0.012795448303222656
141,0.01300811767578125
142,0.013012886047363281
143,0.013216495513916016
144,0.013568878173828125
145,0.013586997985839844
146,0.012848377227783203
147,0.012838363647460938
148,0.013039588928222656
149,0.013528823852539062
150,0.013937950134277344
151,0.013997554779052734
152,0.01424551010131836
153,0.01450967788696289
154,0.014561176300048828
155,0.01468515396118164
156,0.015139579772949219
157,0.01473379135131836
158,0.014606475830078125
159,0.014613151550292969
160,0.014515399932861328
161,0.014646053314208984
162,0.014847755432128906
163,0.014822959899902344
164,0.014614105224609375
165,0.01452016830444336
166,0.014473438262939453
167,0.0147705078125
168,0.014965534210205078
169,0.014389514923095703
170,0.014132499694824219
171,0.014297962188720703
172,0.014139175415039062
173,0.013844490051269531
174,0.013729095458984375
175,0.014579296112060547
176,0.014434814453125
177,0.01448678970336914
178,0.014505863189697266
179,0.014615058898925781
180,0.014660358428955078
181,0.01457834243774414
182,0.014533519744873047
183,0.014673233032226562
184,0.015155792236328125
185,0.015657424926757812
186,0.015617847442626953
187,0.015540122985839844
188,0.015454292297363281
189,0.015540122985839844
190,0.015007495880126953
191,0.014755725860595703
192,0.015018939971923828
193,0.015017986297607422
194,0.01505422592163086
195,0.014457225799560547
196,0.01428842544555664
197,0.014269828796386719
198,0.01460886001586914
199,0.014321327209472656
200,0.014729022979736328
201,0.015356063842773438
202,0.015092849731445312
203,0.015055656433105469
204,0.014686107635498047
205,0.014779090881347656
206,0.014873027801513672
207,0.015156745910644531
208,0.015032291412353516
209,0.014749526977539062
210,0.014485359191894531
211,0.014536380767822266
212,0.014680862426757812
213,0.014863014221191406
214,0.014894485473632812
215,0.014448165893554688
216,0.014926910400390625
217,0.014942646026611328
218,0.015305042266845703
219,0.015420913696289062
220,0.015446662902832031
221,0.016103267669677734
222,0.016071796417236328
223,0.01611471176147461
224,0.016241073608398438
225,0.015716075897216797
226,0.015807628631591797
227,0.015994548797607422
228,0.015726566314697266
229,0.015966415405273438
230,0.015647411346435547
231,0.01540374755859375
232,0.015791893005371094
233,0.0160064697265625
234,0.016252517700195312
235,0.01633453369140625
236,0.01600933074951172
237,0.015202045440673828
238,0.01507711410522461
239,0.014971733093261719
240,0.014676570892333984
241,0.015401363372802734
242,0.015230655670166016
243,0.015137672424316406
244,0.015346050262451172
245,0.015336036682128906
246,0.015918254852294922
247,0.016190052032470703
248,0.016871929168701172
249,0.01689291000366211
250,0.016748428344726562
251,0.016422748565673828
252,0.0166168212890625
253,0.016742229461669922
254,0.016861915588378906
255,0.0167236328125
256,0.016913890838623047
257,0.016759395599365234
258,0.016695499420166016
259,0.016506671905517578
260,0.016624927520751953
261,0.01678323745727539
262,0.016954898834228516
263,0.016757488250732422
264,0.016902923583984375
265,0.017473697662353516
266,0.018013477325439453
267,0.018137454986572266
268,0.018432140350341797
269,0.01756429672241211
270,0.01718425750732422
271,0.017461776733398438
272,0.016948699951171875
273,0.016559123992919922
274,0.016283512115478516
275,0.016703128814697266
276,0.016881465911865234
277,0.01646709442138672
278,0.01696300506591797
279,0.016839981079101562
280,0.016892433166503906
281,0.016834735870361328
282,0.016503334045410156
283,0.016458988189697266
284,0.01660299301147461
285,0.017076969146728516
286,0.01727151870727539
287,0.017112255096435547
288,0.0178375244140625
289,0.017208576202392578
290,0.017283916473388672
291,0.017753124237060547
