,obj_value
0,tensor(0.0010)
1,tensor(0.0025)
2,tensor(0.0052)
3,tensor(0.0036)
4,tensor(0.0033)
5,tensor(0.0053)
6,tensor(0.0158)
7,tensor(0.0203)
8,tensor(0.0234)
9,tensor(0.0216)
10,tensor(0.0300)
11,tensor(0.0225)
12,tensor(0.0250)
13,tensor(0.0215)
14,tensor(0.0214)
15,tensor(0.0159)
16,tensor(0.0164)
17,tensor(0.0137)
18,tensor(0.0099)
19,tensor(0.0132)
20,tensor(0.0054)
21,tensor(0.0086)
22,tensor(0.0079)
23,tensor(0.0107)
24,tensor(0.0089)
25,tensor(0.0170)
26,tensor(0.0187)
27,tensor(0.0218)
28,tensor(0.0261)
29,tensor(0.0288)
30,tensor(0.0343)
31,tensor(0.0324)
32,tensor(0.0284)
33,tensor(0.0440)
34,tensor(0.0378)
35,tensor(0.0367)
36,tensor(0.0339)
37,tensor(0.0313)
38,tensor(0.0350)
39,tensor(0.0299)
40,tensor(0.0285)
41,tensor(0.0268)
42,tensor(0.0207)
43,tensor(0.0286)
44,tensor(0.0208)
45,tensor(0.0264)
46,tensor(0.0134)
47,tensor(0.0231)
48,tensor(0.0134)
49,tensor(0.0176)
50,tensor(0.0252)
51,tensor(0.0250)
52,tensor(0.0234)
53,tensor(0.0256)
54,tensor(0.0265)
55,tensor(0.0271)
56,tensor(0.0271)
57,tensor(0.0278)
58,tensor(0.0314)
59,tensor(0.0346)
60,tensor(0.0333)
61,tensor(0.0323)
62,tensor(0.0373)
63,tensor(0.0490)
64,tensor(0.0504)
65,tensor(0.0481)
66,tensor(0.0503)
67,tensor(0.0444)
68,tensor(0.0268)
69,tensor(0.0400)
70,tensor(0.0564)
71,tensor(0.0634)
72,tensor(0.0516)
73,tensor(0.0383)
74,tensor(0.0459)
75,tensor(0.0435)
76,tensor(0.0505)
77,tensor(0.0409)
78,tensor(0.0276)
79,tensor(0.0275)
80,tensor(0.0281)
81,tensor(0.0287)
82,tensor(0.0255)
83,tensor(0.0275)
84,tensor(0.0263)
85,tensor(0.0351)
86,tensor(0.0364)
87,tensor(0.0449)
88,tensor(0.0271)
89,tensor(0.0281)
90,tensor(0.0255)
91,tensor(0.0237)
92,tensor(0.0297)
93,tensor(0.0325)
94,tensor(0.0420)
95,tensor(0.0433)
96,tensor(0.0371)
97,tensor(0.0405)
98,tensor(0.0380)
99,tensor(0.0418)
100,tensor(0.0410)
101,tensor(0.0474)
102,tensor(0.0392)
103,tensor(0.0371)
104,tensor(0.0336)
105,tensor(0.0348)
106,tensor(0.0389)
107,tensor(0.0332)
108,tensor(0.0274)
109,tensor(0.0345)
110,tensor(0.0380)
111,tensor(0.0431)
112,tensor(0.0417)
113,tensor(0.0329)
114,tensor(0.0374)
115,tensor(0.0365)
116,tensor(0.0415)
117,tensor(0.0432)
118,tensor(0.0507)
119,tensor(0.0349)
120,tensor(0.0312)
121,tensor(0.0404)
122,tensor(0.0422)
123,tensor(0.0641)
124,tensor(0.0489)
125,tensor(0.0422)
126,tensor(0.0614)
127,tensor(0.0622)
128,tensor(0.0785)
129,tensor(0.0937)
130,tensor(0.1020)
131,tensor(0.1047)
132,tensor(0.1041)
133,tensor(0.1108)
134,tensor(0.1108)
135,tensor(0.1199)
136,tensor(0.1295)
137,tensor(0.1286)
138,tensor(0.1282)
139,tensor(0.1251)
140,tensor(0.1234)
141,tensor(0.1177)
142,tensor(0.1238)
143,tensor(0.1003)
144,tensor(0.0987)
145,tensor(0.0926)
146,tensor(0.1164)
147,tensor(0.1214)
148,tensor(0.1340)
149,tensor(0.1360)
150,tensor(0.1248)
151,tensor(0.1294)
152,tensor(0.1296)
153,tensor(0.1363)
154,tensor(0.1145)
155,tensor(0.1265)
156,tensor(0.1265)
157,tensor(0.1234)
158,tensor(0.1162)
159,tensor(0.1006)
160,tensor(0.0982)
161,tensor(0.0887)
162,tensor(0.0942)
163,tensor(0.1122)
164,tensor(0.1129)
165,tensor(0.1156)
166,tensor(0.1112)
167,tensor(0.1264)
168,tensor(0.1176)
169,tensor(0.1199)
170,tensor(0.1224)
171,tensor(0.1508)
172,tensor(0.1490)
173,tensor(0.1594)
174,tensor(0.1563)
175,tensor(0.1618)
176,tensor(0.1709)
177,tensor(0.1822)
178,tensor(0.1844)
179,tensor(0.1887)
180,tensor(0.1902)
181,tensor(0.1836)
182,tensor(0.1901)
183,tensor(0.1755)
184,tensor(0.1799)
185,tensor(0.1729)
186,tensor(0.1819)
187,tensor(0.1762)
188,tensor(0.1666)
189,tensor(0.1620)
190,tensor(0.1656)
191,tensor(0.1630)
192,tensor(0.1695)
193,tensor(0.1592)
194,tensor(0.1682)
195,tensor(0.1733)
196,tensor(0.1739)
197,tensor(0.1814)
198,tensor(0.1837)
199,tensor(0.1876)
200,tensor(0.1810)
201,tensor(0.1829)
202,tensor(0.1821)
203,tensor(0.1904)
204,tensor(0.1909)
205,tensor(0.1922)
206,tensor(0.1910)
207,tensor(0.1956)
208,tensor(0.2003)
209,tensor(0.2005)
210,tensor(0.2050)
211,tensor(0.1979)
212,tensor(0.1987)
