,obj_value,,
318,4.94665575,,
319,4.946499825,,
320,4.946160793,,
321,4.948192596,,
322,4.949231625,,
323,4.95345068,,
324,4.953064442,,
325,4.95493269,,
326,4.959486961,,
327,4.9623909,,
328,4.962467194,,
329,4.963787079,,
330,4.965291023,,
331,4.968733788,,
332,4.969806671,,
333,4.972037792,,
334,4.973073483,,
335,4.974059582,,
336,4.977240086,,
337,4.979580879,,
338,4.980546951,,
339,4.982519627,,
340,4.984135628,,
341,4.986300945,,
342,4.98720789,,
343,4.986907482,,
344,4.990049362,,
345,4.992418289,,
346,4.995476723,,
347,4.999429703,,
348,5.001840115,,
349,5.003192425,,
350,5.004894257,,
351,5.010027409,,
352,5.010924816,,
353,5.012180328,,
354,5.013409615,,
355,5.019693375,,
356,5.02010107,,
357,5.02065897,,
358,5.023180485,,
359,5.02483654,,
360,5.027357101,,
361,5.03026247,,
362,5.031358719,,
363,5.032140255,,
364,5.034226418,,
365,5.033761501,,
366,5.037189484,,
367,5.041151047,,
368,5.040181637,,
369,5.042130947,,
370,5.042924404,,
371,5.043552399,,
372,5.044989586,,
373,5.046808243,,
374,5.044502735,,
375,5.047419071,,
376,5.048397064,,
377,5.048695564,,
378,5.046618938,,
379,5.04995203,,
380,5.052494049,,
381,5.054244518,,
382,5.055508137,,
383,5.055875301,,
384,5.059598923,,
385,5.061306,,
386,5.063375473,,
387,5.065781593,,
388,5.0666008,,
389,5.068274975,,
390,5.070309639,,
391,5.070812225,,
392,5.069594383,,
393,5.070934296,,
394,5.075876236,,
395,5.079868793,,
396,5.081270695,,
397,5.083957672,,
398,5.085803032,,
399,5.086494446,,
400,5.086455345,,
401,5.09087801,,
402,5.095041275,,
403,5.097199917,,
404,5.099675179,,
405,5.103499889,,
406,5.103451729,,
407,5.105444908,,
408,5.106881618,,
409,5.109805584,,
410,5.111251831,,
411,5.115618706,,
412,5.117061615,,
413,5.11722374,,
414,5.116218567,,
415,5.118582726,,
416,5.118587494,,
417,5.121119976,,
418,5.120937347,,
419,5.121070862,,
420,5.123941422,,
