,obj_value
0,tensor(0.0009)
1,tensor(0.0336)
2,tensor(0.0776)
3,tensor(0.1423)
4,tensor(0.1799)
5,tensor(0.1762)
6,tensor(0.1703)
7,tensor(0.2009)
8,tensor(0.1751)
9,tensor(0.1564)
10,tensor(0.1286)
11,tensor(0.1262)
12,tensor(0.1649)
13,tensor(0.1760)
14,tensor(0.1734)
15,tensor(0.1812)
16,tensor(0.2139)
17,tensor(0.2644)
18,tensor(0.2356)
19,tensor(0.2492)
20,tensor(0.2510)
21,tensor(0.2604)
22,tensor(0.2494)
23,tensor(0.2518)
24,tensor(0.2473)
25,tensor(0.2456)
26,tensor(0.2479)
27,tensor(0.2445)
28,tensor(0.2409)
29,tensor(0.2225)
30,tensor(0.2327)
31,tensor(0.2335)
32,tensor(0.2361)
33,tensor(0.2252)
34,tensor(0.2227)
35,tensor(0.2204)
36,tensor(0.2107)
37,tensor(0.2163)
38,tensor(0.2129)
39,tensor(0.2150)
40,tensor(0.2135)
41,tensor(0.2143)
42,tensor(0.2069)
43,tensor(0.2133)
44,tensor(0.2164)
45,tensor(0.2155)
46,tensor(0.2197)
47,tensor(0.2168)
48,tensor(0.2151)
49,tensor(0.2107)
50,tensor(0.2130)
51,tensor(0.2077)
52,tensor(0.2079)
53,tensor(0.2081)
54,tensor(0.2178)
55,tensor(0.2159)
56,tensor(0.2061)
57,tensor(0.2076)
58,tensor(0.2188)
59,tensor(0.2710)
60,tensor(0.2663)
61,tensor(0.1790)
62,tensor(0.1809)
63,tensor(0.1744)
64,tensor(0.1954)
65,tensor(0.2080)
66,tensor(0.1455)
67,tensor(0.2296)
68,tensor(0.2350)
69,tensor(0.2195)
70,tensor(0.1901)
71,tensor(0.1563)
72,tensor(0.1621)
73,tensor(0.1482)
74,tensor(0.1668)
75,tensor(0.1982)
76,tensor(0.1988)
77,tensor(0.1857)
78,tensor(0.2093)
79,tensor(0.2174)
80,tensor(0.2033)
81,tensor(0.1783)
82,tensor(0.1537)
83,tensor(0.1713)
84,tensor(0.1592)
85,tensor(0.1753)
86,tensor(0.1969)
87,tensor(0.2080)
88,tensor(0.2043)
89,tensor(0.1631)
90,tensor(0.1731)
91,tensor(0.1443)
92,tensor(0.1586)
93,tensor(0.1699)
94,tensor(0.1736)
95,tensor(0.1679)
96,tensor(0.1412)
97,tensor(0.1619)
98,tensor(0.1171)
99,tensor(0.1376)
100,tensor(0.1429)
101,tensor(0.0720)
102,tensor(0.0864)
103,tensor(0.0668)
104,tensor(0.0692)
105,tensor(0.0701)
106,tensor(0.0913)
107,tensor(0.0970)
108,tensor(0.0838)
109,tensor(0.0874)
110,tensor(0.0821)
111,tensor(0.1229)
112,tensor(0.1176)
113,tensor(0.1240)
114,tensor(0.1241)
115,tensor(0.1280)
116,tensor(0.1255)
117,tensor(0.1332)
118,tensor(0.1272)
119,tensor(0.1305)
120,tensor(0.1299)
121,tensor(0.1299)
122,tensor(0.1322)
123,tensor(0.1326)
124,tensor(0.1323)
125,tensor(0.1335)
126,tensor(0.1313)
127,tensor(0.1300)
128,tensor(0.1263)
129,tensor(0.1267)
130,tensor(0.1314)
131,tensor(0.1261)
132,tensor(0.1327)
133,tensor(0.1303)
134,tensor(0.1302)
135,tensor(0.1343)
136,tensor(0.1321)
137,tensor(0.1287)
138,tensor(0.1337)
139,tensor(0.1218)
140,tensor(0.1323)
141,tensor(0.1321)
142,tensor(0.1277)
143,tensor(0.1296)
144,tensor(0.1338)
145,tensor(0.1273)
146,tensor(0.1306)
147,tensor(0.1320)
148,tensor(0.1316)
149,tensor(0.1307)
150,tensor(0.1336)
151,tensor(0.1310)
152,tensor(0.1320)
153,tensor(0.1335)
154,tensor(0.1346)
155,tensor(0.1340)
156,tensor(0.1259)
157,tensor(0.1324)
158,tensor(0.1350)
159,tensor(0.1256)
160,tensor(0.1346)
161,tensor(0.1272)
162,tensor(0.1322)
163,tensor(0.1336)
164,tensor(0.1269)
165,tensor(0.1324)
166,tensor(0.1276)
167,tensor(0.1325)
168,tensor(0.1284)
169,tensor(0.1307)
170,tensor(0.1292)
171,tensor(0.1311)
172,tensor(0.1363)
173,tensor(0.1304)
174,tensor(0.1343)
175,tensor(0.1328)
176,tensor(0.1318)
177,tensor(0.1364)
178,tensor(0.1353)
179,tensor(0.1309)
180,tensor(0.1298)
181,tensor(0.1214)
182,tensor(0.1326)
183,tensor(0.1320)
184,tensor(0.1303)
185,tensor(0.1307)
186,tensor(0.1332)
187,tensor(0.1284)
188,tensor(0.1318)
189,tensor(0.1306)
190,tensor(0.1296)
191,tensor(0.1319)
192,tensor(0.1304)
193,tensor(0.1367)
194,tensor(0.1337)
195,tensor(0.1356)
196,tensor(0.1300)
197,tensor(0.1320)
198,tensor(0.1315)
199,tensor(0.1317)
200,tensor(0.1345)
201,tensor(0.1334)
202,tensor(0.1329)
203,tensor(0.1327)
204,tensor(0.1295)
205,tensor(0.1283)
206,tensor(0.1308)
207,tensor(0.1294)
208,tensor(0.1327)
209,tensor(0.1318)
210,tensor(0.1283)
211,tensor(0.1294)
212,tensor(0.1288)
213,tensor(0.1249)
214,tensor(0.1341)
215,tensor(0.1268)
216,tensor(0.1295)
217,tensor(0.1337)
218,tensor(0.1310)
219,tensor(0.1286)
220,tensor(0.1314)
221,tensor(0.1297)
222,tensor(0.1318)
223,tensor(0.1284)
224,tensor(0.1274)
225,tensor(0.1291)
226,tensor(0.1186)
227,tensor(0.1222)
228,tensor(0.1229)
229,tensor(0.1550)
230,tensor(0.1362)
231,tensor(0.1296)
232,tensor(0.1281)
233,tensor(0.1671)
234,tensor(0.1530)
235,tensor(0.1595)
236,tensor(0.1626)
237,tensor(0.1532)
238,tensor(0.1569)
239,tensor(0.1585)
240,tensor(0.1655)
241,tensor(0.1658)
242,tensor(0.1727)
243,tensor(0.1885)
244,tensor(0.1866)
245,tensor(0.1859)
246,tensor(0.1825)
247,tensor(0.1795)
248,tensor(0.1828)
