,obj_value,violate
0,4.331973553,0.000968123
1,4.338902473,0.001801771
2,4.350740433,0.003036454
3,4.366548538,0.004636574
4,4.373786926,0.006101768
5,4.36197567,0.005309058
6,4.365450382,0.005880368
7,4.373855591,0.006516168
8,4.386346817,0.006877984
9,4.388132095,0.006474618
10,4.390916348,0.008445195
11,4.396392822,0.008103199
12,4.395370007,0.006843842
13,4.393177986,0.009768034
14,4.402225494,0.007752012
15,4.416787624,0.006127543
16,4.428161144,0.004715118
17,4.431583405,0.005111803
18,4.437089443,0.00550389
19,4.442732811,0.007161078
20,4.473867893,0.009050052
21,4.481019497,0.009242268
22,4.480874538,0.013277366
23,4.495209694,0.013790212
24,4.492534637,0.014421367
25,4.499890804,0.013627092
26,4.501843929,0.013158448
27,4.518952847,0.014780374
28,4.530658722,0.014888179
29,4.529612064,0.015367229
30,4.548348904,0.017000019
31,4.543359756,0.016332723
32,4.55087471,0.01733619
33,4.556026459,0.015350414
34,4.563285351,0.014118973
35,4.559925556,0.014193899
36,4.565268517,0.012982846
37,4.568751812,0.01358815
38,4.573565483,0.011653001
39,4.604171753,0.010031091
40,4.613377571,0.010914924
41,4.614429474,0.009762964
42,4.614412308,0.011710845
43,4.619740963,0.013382824
44,4.631293297,0.014003633
45,4.632174015,0.014163986
46,4.645218849,0.013756077
47,4.656553268,0.012968154
48,4.661922455,0.010342838
49,4.672904968,0.009010265
50,4.668209553,0.00895492
51,4.670597553,0.009812236
52,4.685752869,0.008728737
53,4.703327656,0.0076391
54,4.705059052,0.008803563
55,4.709274292,0.010117314
56,4.710036278,0.009582554
57,4.716596603,0.010764036
58,4.740778446,0.012768699
59,4.740227222,0.01277518
60,4.741590977,0.011299199
61,4.745271206,0.011060845
62,4.744222164,0.01023032
63,4.737988949,0.010337045
64,4.763018608,0.009497396
65,4.771982193,0.00945563
66,4.788277149,0.010012397
67,4.790229797,0.010284372
68,4.798116684,0.008656261
69,4.798841,0.007341629
70,4.800497055,0.007022798
71,4.807319164,0.00886677
72,4.813656807,0.011169872
73,4.836034775,0.009896779
74,4.839126587,0.009130833
75,4.826402664,0.009065435
76,4.826560497,0.006683878
77,4.827962399,0.010003092
78,4.828750134,0.004810967
79,4.829071999,0.005096034
80,4.829780579,0.004836919
81,4.830523014,0.006154506
82,4.840202332,0.005525967
83,4.841296196,0.006992643
84,4.845071316,0.005990353
85,4.842673779,0.005923171
86,4.841463089,0.006291995
87,4.844922543,0.006069566
88,4.850374222,0.006065247
89,4.847511292,0.006847569
90,4.858062267,0.007646073
91,4.866456985,0.005561247
92,4.863772869,0.006324401
93,4.868564606,0.006820085
94,4.863935471,0.007068261
95,4.866765022,0.007032867
96,4.848902702,0.006162111
97,4.854251385,0.008935103
98,4.857937336,0.011687746
99,4.857858181,0.01139702
100,4.859762192,0.011269098
101,4.860198975,0.010723437
102,4.863404751,0.011831893
103,4.870763779,0.01360569
104,4.876362324,0.015090008
105,4.872355461,0.015929139
106,4.878060818,0.01627007
107,4.873617649,0.013127344
108,4.877863884,0.01238692
109,4.880626678,0.011310106
110,4.882179737,0.00865569
111,4.879663467,0.01187305
112,4.885808945,0.012026899
113,4.887984753,0.011967995
114,4.872771263,0.012445741
115,4.873197556,0.012477022
116,4.876480103,0.011285036
117,4.871813774,0.010825469
118,4.86668539,0.008148093
119,4.878088951,0.008590046
120,4.877705097,0.008971594
121,4.88130331,0.009091357
122,4.88350153,0.011674306
123,4.889895439,0.016338852
124,4.897843361,0.019090688
125,4.895345211,0.017360962
126,4.886126041,0.015707744
127,4.891852379,0.014254538
128,4.899253845,0.013742518
129,4.908184052,0.014432112
130,4.910339832,0.014357947
131,4.918995857,0.015176559
132,4.900444031,0.01501689
133,4.893267632,0.015047559
134,4.888500214,0.014268813
135,4.889678955,0.014090362
136,4.888239861,0.014479118
137,4.893086433,0.014527081
138,4.892318249,0.016394944
139,4.892389297,0.017040762
140,4.90294075,0.012546455
141,4.920809746,0.010003719
142,4.926933765,0.010469793
143,4.922638893,0.009100949
144,4.932426929,0.010392543
145,4.942320824,0.011827701
146,4.92159605,0.011365952
147,4.925132275,0.009468264
148,4.929303646,0.010253322
149,4.934223652,0.009652731
150,4.947578907,0.010303583
151,4.954787254,0.011888638
152,4.964959145,0.009293526
153,4.984623432,0.010523876
154,4.990151882,0.008211964
155,4.994478226,0.01032827
156,5.01405859,0.012515702
157,5.014205456,0.012513038
158,5.019809723,0.012838322
159,5.005791187,0.016770892
160,5.007454395,0.016461895
161,5.025411606,0.018911936
162,5.032042027,0.022330692
163,5.039601326,0.027152529
164,5.054935455,0.028292376
165,5.052677155,0.028283281
166,5.045743942,0.028614086
167,5.050448418,0.026637688
168,5.052411079,0.025947563
169,5.052750111,0.028097119
170,5.048560619,0.026171157
171,5.056275368,0.026336333
172,5.068723679,0.030318677
173,5.076056004,0.031265786
174,5.08172226,0.032800794
175,5.094151974,0.033091994
176,5.118269444,0.032169747
177,5.121748924,0.031576294
178,5.119767189,0.03239147
179,5.131258488,0.032404083
180,5.135972023,0.034091126
181,5.143014908,0.035103427
182,5.143388271,0.032631854
183,5.155007839,0.035953766
184,5.158511162,0.037646184
185,5.16100502,0.037073315
186,5.159129143,0.036675545
187,5.160526752,0.038602292
188,5.17081356,0.038461221
189,5.17505312,0.038973177
190,5.181920052,0.038702357
191,5.176326752,0.038087717
192,5.173743725,0.035129416
193,5.174708366,0.03567307
194,5.171856403,0.034952983
195,5.171842098,0.032227503
196,5.180875301,0.036927024
197,5.180517673,0.037513241
198,5.20606184,0.039006476
199,5.213445663,0.040385886
200,5.222761631,0.03936144
201,5.243588924,0.042841262
202,5.246322155,0.043267701
203,5.251688957,0.044599101
204,5.243630409,0.042956441
205,5.238136768,0.040139284
206,5.246347427,0.032068708
207,5.243465424,0.029500805
208,5.258690834,0.031820478
209,5.266769409,0.03086445
210,5.258991241,0.027837932
211,5.260623932,0.030937427
212,5.266069889,0.030188343
213,5.276296616,0.030470588
214,5.266927719,0.031790761
215,5.263048649,0.030922825
216,5.281681538,0.031568492
217,5.275272846,0.029221082
218,5.280367374,0.027980034
219,5.277824879,0.028402296
220,5.288509846,0.027206635
221,5.298358917,0.027614943
222,5.315211296,0.028320875
223,5.315430164,0.027977973
224,5.316356659,0.028985978
225,5.32442379,0.028594474
226,5.330877781,0.025995801
227,5.314769745,0.021994408
228,5.311571598,0.021170821
229,5.311056137,0.01956863
230,5.339759827,0.01818933
231,5.355541229,0.020045297
232,5.357845783,0.020090303
233,5.354156494,0.022070758
234,5.353300095,0.021403023
235,5.355659485,0.019953995
236,5.359305382,0.019424483
237,5.364047527,0.02087147
238,5.366866112,0.020126049
239,5.367021084,0.020399171
240,5.374457836,0.020354841
241,5.378332138,0.022401773
242,5.376095295,0.022373687
243,5.382986546,0.022593031
244,5.38455534,0.021571063
245,5.395096302,0.02031035
246,5.396854877,0.020455281
247,5.406435013,0.020184991
248,5.401302814,0.020199829
249,5.402867794,0.018882415
250,5.405702114,0.018584224
251,5.401826382,0.018225768
252,5.40460968,0.020839402
253,5.407914162,0.020179863
254,5.406859398,0.02001098
255,5.410776615,0.018100641
256,5.40334177,0.012519711
257,5.41352272,0.017418675
258,5.423151016,0.01909012
259,5.425539017,0.019192858
260,5.432549953,0.018244164
261,5.428640842,0.020017841
262,5.424227715,0.017456866
263,5.433068275,0.016116639
264,5.444720745,0.01843856
265,5.449271202,0.016804832
266,5.453468323,0.014259241
267,5.453182697,0.012976294
268,5.453296661,0.012929574
269,5.463578701,0.009703654
270,5.469888687,0.008158617
271,5.463780403,0.008522668
272,5.462226868,0.008217371
273,5.470612049,0.010830627
274,5.475352287,0.01101658
275,5.468765736,0.010022705
276,5.488111496,0.010019142
277,5.495370865,0.010477545
278,5.51886797,0.015194293
279,5.512940407,0.016523753
280,5.513821602,0.01775054
281,5.51429224,0.021404093
282,5.501903057,0.019526019
283,5.505022526,0.019690586
284,5.512753963,0.020496567
285,5.514431953,0.019443712
286,5.518173218,0.019476871
287,5.520224571,0.018972767
288,5.533936024,0.01948535
289,5.532616138,0.01862115
290,5.524778366,0.020823598
291,5.525975227,0.019570311
292,5.535406113,0.019412033
293,5.549061775,0.018573658
294,5.545460701,0.01796722
295,5.550397873,0.019165966
296,5.55773592,0.019369655
297,5.565401554,0.020423715
298,5.56030798,0.019417934
299,5.552759647,0.01758025
300,5.552299023,0.016631512
301,5.551895618,0.015034741
302,5.551514149,0.013557694
303,5.552048206,0.013892668
304,5.545468807,0.013133868
305,5.558307171,0.015459219
306,5.562753677,0.018098512
307,5.568183899,0.019109951
308,5.565142155,0.018520636
309,5.568320274,0.017590165
310,5.575269699,0.019702398
311,5.572903633,0.019179645
312,5.572896957,0.018398892
313,5.574617386,0.017650379
314,5.576372147,0.017778453
315,5.571172237,0.021514025
316,5.572147369,0.021951073
317,5.572934151,0.021722714
318,5.569767952,0.016952084
319,5.571673393,0.017044609
320,5.572199345,0.01637656
321,5.566719055,0.018529001
322,5.560313225,0.019398177
323,5.567299843,0.020069117
324,5.577085495,0.022107427
325,5.580055237,0.021660004
326,5.591552258,0.021485926
327,5.597093105,0.02100451
328,5.601117134,0.020224163
329,5.598448277,0.019110142
330,5.602622986,0.018365491
331,5.603512764,0.019841278
332,5.603740215,0.021447259
333,5.607913494,0.024023937
334,5.607940674,0.024782641
335,5.61081028,0.026140085
336,5.609439373,0.025846461
337,5.604236603,0.025514847
338,5.611153126,0.026399385
339,5.607058048,0.025264312
340,5.604415894,0.024691852
341,5.600905895,0.023868837
342,5.597100735,0.022792257
343,5.60352993,0.023793318
344,5.610200882,0.023166582
345,5.617990494,0.02484023
346,5.620938778,0.02459597
347,5.625216007,0.020894818
348,5.627388,0.020790034
349,5.621106148,0.01564034
350,5.628270626,0.015150015
351,5.639254093,0.017050354
352,5.638306618,0.016790113
353,5.641675949,0.022944025
354,5.641118526,0.025194391
355,5.639893532,0.024277931
356,5.644990921,0.023542078
357,5.647013187,0.020931938
358,5.650422096,0.021743816
359,5.661192894,0.021876057
360,5.665958881,0.024518063
361,5.665402412,0.024880225
362,5.670977592,0.027847102
363,5.668420315,0.02816768
364,5.674015999,0.02896171
365,5.669401169,0.027054095
366,5.661333084,0.021138336
367,5.668203831,0.021949045
368,5.671152592,0.02431969
369,5.668627739,0.025396995
370,5.67444706,0.025665412
371,5.673464298,0.028686443
372,5.673376083,0.03103747
373,5.669186592,0.031512011
374,5.669594288,0.029937528
375,5.670893669,0.029554521
376,5.681649685,0.03004706
377,5.693522453,0.032880061
378,5.697340965,0.035001477
379,5.69252491,0.032208082
380,5.70165205,0.032744072
381,5.700737,0.033522886
382,5.707544327,0.035201878
383,5.710342884,0.035816586
384,5.707021236,0.040201924
385,5.70433712,0.040521932
386,5.706523895,0.040337086
387,5.709511757,0.038515052
388,5.707023144,0.03870982
389,5.710389137,0.037828877
390,5.711272717,0.039238089
391,5.706933022,0.041841629
392,5.708748341,0.042137981
393,5.709845543,0.041593654
394,5.706466675,0.041591101
395,5.711971283,0.043846154
396,5.716795444,0.045384066
397,5.716285229,0.044204273
398,5.725234985,0.042175447
399,5.727945805,0.040361944
400,5.728884697,0.040109231
401,5.725083828,0.039040859
402,5.729130745,0.036042891
403,5.726541042,0.036295619
404,5.719923019,0.033215998
405,5.715779781,0.03348217
406,5.71206665,0.033300993
407,5.713378429,0.032667003
408,5.724074841,0.033099383
409,5.72770071,0.031691313
410,5.725950718,0.030622472
