,obj_value
0,tensor(0.0009)
1,tensor(0.0040)
2,tensor(0.0035)
3,tensor(0.0023)
4,tensor(0.0058)
5,tensor(0.0076)
6,tensor(0.0055)
7,tensor(0.0075)
8,tensor(0.0057)
9,tensor(0.0066)
10,tensor(0.0093)
11,tensor(0.0067)
12,tensor(0.0109)
13,tensor(0.0044)
14,tensor(0.0122)
15,tensor(0.0062)
16,tensor(0.0066)
17,tensor(0.0048)
18,tensor(0.0043)
19,tensor(0.0070)
20,tensor(0.0078)
21,tensor(0.0120)
22,tensor(0.0081)
23,tensor(0.0128)
24,tensor(0.0107)
25,tensor(0.0137)
26,tensor(0.0150)
27,tensor(0.0137)
28,tensor(0.0146)
29,tensor(0.0118)
30,tensor(0.0128)
31,tensor(0.0173)
32,tensor(0.0167)
33,tensor(0.0178)
34,tensor(0.0143)
35,tensor(0.0147)
36,tensor(0.0127)
37,tensor(0.0148)
38,tensor(0.0136)
39,tensor(0.0085)
40,tensor(0.0115)
41,tensor(0.0090)
42,tensor(0.0071)
43,tensor(0.0103)
44,tensor(0.0131)
45,tensor(0.0119)
46,tensor(0.0126)
47,tensor(0.0160)
48,tensor(0.0107)
49,tensor(0.0077)
50,tensor(0.0099)
51,tensor(0.0077)
52,tensor(0.0095)
53,tensor(0.0085)
54,tensor(0.0082)
55,tensor(0.0079)
56,tensor(0.0094)
57,tensor(0.0085)
58,tensor(0.0092)
59,tensor(0.0130)
60,tensor(0.0135)
61,tensor(0.0100)
62,tensor(0.0103)
63,tensor(0.0088)
64,tensor(0.0093)
65,tensor(0.0099)
66,tensor(0.0086)
67,tensor(0.0106)
68,tensor(0.0086)
69,tensor(0.0103)
70,tensor(0.0101)
71,tensor(0.0059)
72,tensor(0.0099)
73,tensor(0.0133)
74,tensor(0.0121)
75,tensor(0.0085)
76,tensor(0.0086)
77,tensor(0.0043)
78,tensor(0.0092)
79,tensor(0.0061)
80,tensor(0.0044)
81,tensor(0.0043)
82,tensor(0.0038)
83,tensor(0.0062)
84,tensor(0.0071)
85,tensor(0.0053)
86,tensor(0.0047)
87,tensor(0.0048)
88,tensor(0.0058)
89,tensor(0.0094)
90,tensor(0.0084)
91,tensor(0.0067)
92,tensor(0.0052)
93,tensor(0.0067)
94,tensor(0.0064)
95,tensor(0.0068)
96,tensor(0.0073)
97,tensor(0.0046)
98,tensor(0.0097)
99,tensor(0.0069)
100,tensor(0.0111)
101,tensor(0.0114)
102,tensor(0.0071)
103,tensor(0.0107)
104,tensor(0.0111)
105,tensor(0.0161)
