,obj_value
0,4.330082893
1,4.340148449
2,4.377391338
3,4.462916374
4,4.54622221
5,4.62609911
6,4.625096798
7,4.684392929
8,4.701443672
9,4.721380711
10,4.728307247
11,4.816346169
12,4.853785992
13,4.911280632
14,4.984591007
15,5.008883953
16,4.984664917
17,4.9788661
18,5.026707649
19,5.041527748
20,5.048165798
21,5.079298973
22,5.106259346
23,5.182901859
24,5.21395731
25,5.223620892
26,5.296625137
27,5.31378603
28,5.362560749
29,5.376820564
30,5.366625786
31,5.366587162
32,5.370616436
33,5.378904819
34,5.436358929
35,5.452731609
36,5.468008995
37,5.505519867
38,5.456852436
39,5.463700771
40,5.472260475
41,5.496706009
42,5.512217999
43,5.516504765
44,5.548930168
45,5.617699146
46,5.631206512
47,5.660471916
48,5.657867432
49,5.693720341
50,5.73949194
51,5.710859299
52,5.731373787
53,5.744508743
54,5.743429661
55,5.749989986
56,5.785090923
57,5.778829575
58,5.779743671
59,5.823556423
60,5.776687622
61,5.780108929
62,5.762446404
63,5.780580997
64,5.801094055
65,5.805948257
66,5.802742481
67,5.805253029
68,5.818808079
69,5.81435585
70,5.844825268
71,5.886493206
72,5.85378933
73,5.915466309
74,5.929228783
75,5.950017452
76,5.912098408
77,5.907687187
78,5.8734231
79,5.794504166
80,5.80862236
81,5.814030647
82,5.816410542
83,5.798469067
84,5.80659771
85,5.771542549
86,5.787011623
87,5.76624012
88,5.772458076
89,5.777669907
90,5.803316116
91,5.817799568
92,5.796768188
93,5.806419849
94,5.816225052
95,5.791350365
96,5.778755188
97,5.763674259
98,5.753272533
99,5.752914429
100,5.795962811
101,5.816317558
102,5.815394402
103,5.7835536
104,5.791947365
105,5.803851128
106,5.807987213
107,5.794555664
108,5.810040474
109,5.800206661
110,5.800466537
111,5.806623936
112,5.807751179
113,5.822636604
114,5.821071625
115,5.831561565
116,5.886671066
117,5.89195919
118,5.882064819
119,5.883835316
120,5.930610657
121,5.943815708
122,5.938255787
123,5.945600033
124,5.951672554
125,5.960672855
126,5.969357967
127,5.969338417
128,5.984823227
129,5.983810902
130,5.987833023
131,6.023674965
132,6.03046751
133,6.025529861
134,6.032173157
135,6.0572896
136,6.103720665
137,6.095611572
138,6.103349209
139,6.140417576
140,6.15111351
141,6.159033775
142,6.16151619
143,6.148476601
144,6.146844864
145,6.152575493
146,6.177222252
147,6.179064274
148,6.180901051
149,6.170893192
150,6.175789833
151,6.178573132
152,6.187217712
153,6.178088665
154,6.180572987
155,6.17838192
156,6.198681831
157,6.219425201
158,6.227311611
159,6.251070976
160,6.271515369
161,6.274507046
162,6.294701576
163,6.286909103
164,6.297417641
165,6.292905331
166,6.27079916
167,6.270572662
168,6.291661263
169,6.291536808
170,6.302577019
171,6.29607439
172,6.308117867
173,6.314073563
174,6.285632133
175,6.318876743
176,6.328788757
177,6.291564465
178,6.301207066
179,6.313766956
180,6.324987888
181,6.338780403
182,6.338202477
183,6.349715233
184,6.348376751
185,6.344894409
186,6.335351944
187,6.343082428
188,6.348867893
189,6.373022079
190,6.380986691
191,6.370902061
192,6.367206573
193,6.365758896
194,6.380720615
195,6.379236698
196,6.383398533
197,6.381477833
198,6.362821579
199,6.411513805
200,6.428994656
201,6.422402859
202,6.4230299
203,6.416611195
204,6.426857948
205,6.426120281
206,6.435973167
207,6.458134174
208,6.460725307
209,6.473875999
210,6.473756313
211,6.469660759
