,violate
143,0.20901823
144,0.213294506
145,0.212646484
146,0.21521616
147,0.213750362
148,0.211204529
149,0.22060442
150,0.220336437
151,0.219756126
152,0.213314533
153,0.216097832
154,0.214583397
155,0.215295315
156,0.207083702
157,0.200471878
158,0.203022957
159,0.200753689
160,0.199735641
161,0.197626591
162,0.197445869
163,0.196034431
164,0.197756767
165,0.200736046
166,0.209424973
167,0.210220337
168,0.209486008
169,0.201274395
170,0.196635723
171,0.20191288
172,0.200427532
173,0.198514462
174,0.200099945
175,0.192234039
176,0.193927765
177,0.173359871
178,0.170777798
179,0.165321827
180,0.166992664
181,0.166541576
182,0.161326408
183,0.166545391
184,0.166902542
185,0.157195091
186,0.144693375
187,0.142695427
188,0.149684429
189,0.1729002
190,0.177412033
191,0.182712555
192,0.18215847
193,0.180647373
194,0.183423042
195,0.175625324
196,0.17105484
197,0.167390823
198,0.162961483
199,0.167461395
200,0.164862633
201,0.162189007
202,0.161218166
203,0.156228542
204,0.160492897
205,0.159468651
206,0.155795097
207,0.17206192
208,0.180175304
209,0.184176445
210,0.18322134
211,0.184803486
212,0.180246353
213,0.185045719
214,0.185770035
215,0.19004631
216,0.184960365
217,0.18443203
218,0.185544968
219,0.186793327
220,0.187717915
221,0.194699287
222,0.195384026
223,0.195561886
224,0.197217464
225,0.195894718
226,0.196880817
227,0.180866241
228,0.179563999
229,0.176518917
230,0.178818226
231,0.178836823
232,0.174447536
233,0.174096107
234,0.174365044
235,0.172744751
236,0.172809124
237,0.171575069
238,0.173541069
239,0.174184322
240,0.173619747
241,0.175404072
242,0.176116943
243,0.180193901
244,0.17752409
245,0.179981709
246,0.181544304
247,0.181093216
248,0.180532932
249,0.181428909
250,0.178943634
251,0.181152344
252,0.179969788
253,0.183186531
254,0.183881283
255,0.182828426
256,0.185259342
257,0.185285091
258,0.185190678
259,0.180798054
260,0.194425106
261,0.192793846
262,0.191575527
263,0.193221569
264,0.192241192
265,0.190555573
266,0.193674564
267,0.19485569
268,0.195916653
269,0.195766449
270,0.208011627
271,0.20996809
272,0.216635227
273,0.218439102
274,0.217734337
275,0.218271255
276,0.218241692
277,0.218344688
278,0.221274853
279,0.222340584
280,0.221954346
281,0.221308231
282,0.220979214
283,0.218645096
284,0.218799591
285,0.217436314
286,0.217939377
287,0.21462059
288,0.214926243
289,0.215462685
290,0.214075565
291,0.212181091
292,0.215186119
293,0.215069294
294,0.216459274
295,0.216402531
296,0.216259956
297,0.214094162
298,0.214184284
299,0.215464115
300,0.215073109
301,0.218237877
302,0.218509197
303,0.218249798
304,0.217569828
305,0.218654633
306,0.219964504
307,0.21942234
308,0.220927238
309,0.221534729
310,0.221303463
311,0.220155716
312,0.221720219
313,0.221296787
314,0.220598698
315,0.226298809
316,0.227534771
317,0.226427555
318,0.227274418
319,0.226439953
