,obj_value
0,tensor(0.0009)
1,tensor(0.0082)
2,tensor(0.0095)
3,tensor(0.0129)
4,tensor(0.0228)
5,tensor(0.0341)
6,tensor(0.0396)
7,tensor(0.0372)
8,tensor(0.0335)
9,tensor(0.0380)
10,tensor(0.0489)
11,tensor(0.0477)
12,tensor(0.0503)
13,tensor(0.0626)
14,tensor(0.0670)
15,tensor(0.0648)
16,tensor(0.0727)
17,tensor(0.0707)
18,tensor(0.0830)
19,tensor(0.0845)
20,tensor(0.0676)
21,tensor(0.0511)
22,tensor(0.0492)
23,tensor(0.0524)
24,tensor(0.0466)
25,tensor(0.0395)
26,tensor(0.0421)
27,tensor(0.0534)
28,tensor(0.0620)
29,tensor(0.0633)
30,tensor(0.0682)
31,tensor(0.0665)
32,tensor(0.0718)
33,tensor(0.0744)
34,tensor(0.0792)
35,tensor(0.0702)
36,tensor(0.0792)
37,tensor(0.0925)
38,tensor(0.0997)
39,tensor(0.1026)
40,tensor(0.1007)
41,tensor(0.1206)
42,tensor(0.1263)
43,tensor(0.1223)
44,tensor(0.1339)
45,tensor(0.1406)
46,tensor(0.1441)
47,tensor(0.1549)
48,tensor(0.1523)
49,tensor(0.1594)
50,tensor(0.1688)
51,tensor(0.1737)
52,tensor(0.1760)
53,tensor(0.1716)
54,tensor(0.1727)
55,tensor(0.1785)
56,tensor(0.1791)
57,tensor(0.1786)
58,tensor(0.1680)
59,tensor(0.1471)
60,tensor(0.1350)
61,tensor(0.1424)
62,tensor(0.1432)
63,tensor(0.1437)
64,tensor(0.1536)
65,tensor(0.1484)
66,tensor(0.1455)
67,tensor(0.1561)
68,tensor(0.1489)
69,tensor(0.1484)
70,tensor(0.1624)
71,tensor(0.1590)
72,tensor(0.1496)
73,tensor(0.1582)
74,tensor(0.1550)
75,tensor(0.1461)
76,tensor(0.1674)
77,tensor(0.1796)
78,tensor(0.1753)
79,tensor(0.1702)
80,tensor(0.1757)
81,tensor(0.1800)
82,tensor(0.1774)
83,tensor(0.1634)
84,tensor(0.1616)
85,tensor(0.1670)
86,tensor(0.1749)
87,tensor(0.1733)
88,tensor(0.1764)
89,tensor(0.1719)
90,tensor(0.1705)
91,tensor(0.1719)
92,tensor(0.1663)
93,tensor(0.1645)
94,tensor(0.1786)
95,tensor(0.1697)
96,tensor(0.1744)
97,tensor(0.1850)
98,tensor(0.1796)
99,tensor(0.1760)
100,tensor(0.1825)
101,tensor(0.1787)
102,tensor(0.1865)
103,tensor(0.1927)
104,tensor(0.1939)
105,tensor(0.1911)
106,tensor(0.1960)
107,tensor(0.1989)
108,tensor(0.2063)
109,tensor(0.2012)
110,tensor(0.1919)
111,tensor(0.1970)
112,tensor(0.1823)
113,tensor(0.1917)
114,tensor(0.1975)
115,tensor(0.1874)
116,tensor(0.2055)
117,tensor(0.2094)
118,tensor(0.2179)
119,tensor(0.2195)
120,tensor(0.2247)
121,tensor(0.2259)
122,tensor(0.2179)
123,tensor(0.2258)
124,tensor(0.2237)
125,tensor(0.2260)
126,tensor(0.2311)
127,tensor(0.2290)
128,tensor(0.2287)
129,tensor(0.2243)
130,tensor(0.2360)
131,tensor(0.2118)
132,tensor(0.2096)
133,tensor(0.2114)
134,tensor(0.2057)
135,tensor(0.2171)
136,tensor(0.2153)
137,tensor(0.2154)
138,tensor(0.2246)
139,tensor(0.2086)
140,tensor(0.2229)
141,tensor(0.2135)
142,tensor(0.2081)
143,tensor(0.2019)
144,tensor(0.2115)
145,tensor(0.2099)
146,tensor(0.2100)
147,tensor(0.2046)
148,tensor(0.2061)
149,tensor(0.2149)
150,tensor(0.2178)
151,tensor(0.2168)
152,tensor(0.2104)
153,tensor(0.2168)
154,tensor(0.2167)
155,tensor(0.2113)
156,tensor(0.2017)
157,tensor(0.1866)
158,tensor(0.2023)
159,tensor(0.1928)
160,tensor(0.1997)
161,tensor(0.1910)
162,tensor(0.1930)
163,tensor(0.1911)
164,tensor(0.1945)
165,tensor(0.1915)
166,tensor(0.2027)
167,tensor(0.1965)
168,tensor(0.2044)
169,tensor(0.1965)
170,tensor(0.1894)
171,tensor(0.1979)
172,tensor(0.2016)
173,tensor(0.1926)
174,tensor(0.2000)
175,tensor(0.1900)
176,tensor(0.1914)
177,tensor(0.1732)
178,tensor(0.1708)
179,tensor(0.1645)
180,tensor(0.1635)
181,tensor(0.1662)
182,tensor(0.1596)
183,tensor(0.1632)
