,obj_value
0,tensor(0.0009)
1,tensor(0.0033)
2,tensor(0.0012)
3,tensor(0.0023)
4,tensor(0.0007)
5,tensor(0.0024)
6,tensor(0.0012)
7,tensor(0.0067)
8,tensor(0.0038)
9,tensor(0.0037)
10,tensor(0.0082)
11,tensor(0.0062)
12,tensor(0.0069)
13,tensor(0.0081)
14,tensor(0.0181)
15,tensor(0.0184)
16,tensor(0.0140)
17,tensor(0.0123)
18,tensor(0.0123)
19,tensor(0.0139)
20,tensor(0.0156)
21,tensor(0.0095)
22,tensor(0.0162)
23,tensor(0.0158)
24,tensor(0.0168)
25,tensor(0.0163)
26,tensor(0.0167)
27,tensor(0.0146)
28,tensor(0.0155)
29,tensor(0.0182)
30,tensor(0.0188)
31,tensor(0.0163)
32,tensor(0.0154)
33,tensor(0.0141)
34,tensor(0.0163)
35,tensor(0.0162)
36,tensor(0.0136)
37,tensor(0.0134)
38,tensor(0.0138)
39,tensor(0.0119)
40,tensor(0.0146)
41,tensor(0.0135)
42,tensor(0.0183)
43,tensor(0.0157)
44,tensor(0.0160)
45,tensor(0.0153)
46,tensor(0.0135)
47,tensor(0.0074)
48,tensor(0.0103)
49,tensor(0.0112)
50,tensor(0.0130)
51,tensor(0.0113)
52,tensor(0.0184)
53,tensor(0.0157)
54,tensor(0.0140)
55,tensor(0.0117)
56,tensor(0.0149)
57,tensor(0.0161)
58,tensor(0.0159)
59,tensor(0.0171)
60,tensor(0.0168)
61,tensor(0.0165)
62,tensor(0.0154)
63,tensor(0.0200)
64,tensor(0.0206)
65,tensor(0.0241)
66,tensor(0.0261)
67,tensor(0.0286)
68,tensor(0.0364)
69,tensor(0.0411)
70,tensor(0.0399)
71,tensor(0.0398)
72,tensor(0.0372)
73,tensor(0.0319)
74,tensor(0.0327)
75,tensor(0.0322)
76,tensor(0.0394)
77,tensor(0.0358)
78,tensor(0.0371)
79,tensor(0.0406)
80,tensor(0.0530)
81,tensor(0.0565)
82,tensor(0.0585)
83,tensor(0.0649)
84,tensor(0.0646)
85,tensor(0.0607)
86,tensor(0.0634)
87,tensor(0.0689)
88,tensor(0.0633)
89,tensor(0.0605)
90,tensor(0.0702)
91,tensor(0.0705)
92,tensor(0.0760)
93,tensor(0.0752)
94,tensor(0.0786)
95,tensor(0.0789)
96,tensor(0.0775)
97,tensor(0.0630)
98,tensor(0.0642)
99,tensor(0.0643)
100,tensor(0.0669)
101,tensor(0.0685)
102,tensor(0.0709)
103,tensor(0.0787)
104,tensor(0.0910)
105,tensor(0.0922)
106,tensor(0.0984)
107,tensor(0.0901)
108,tensor(0.0934)
109,tensor(0.0934)
110,tensor(0.0936)
111,tensor(0.0932)
112,tensor(0.0960)
113,tensor(0.0981)
114,tensor(0.0897)
115,tensor(0.0856)
116,tensor(0.0861)
117,tensor(0.0859)
118,tensor(0.0895)
119,tensor(0.0897)
120,tensor(0.0882)
121,tensor(0.0894)
122,tensor(0.0918)
123,tensor(0.0872)
124,tensor(0.0924)
125,tensor(0.1003)
126,tensor(0.1178)
127,tensor(0.1200)
128,tensor(0.1199)
129,tensor(0.1234)
130,tensor(0.1234)
131,tensor(0.1261)
132,tensor(0.1279)
133,tensor(0.1212)
134,tensor(0.1201)
135,tensor(0.1237)
136,tensor(0.1209)
137,tensor(0.1259)
138,tensor(0.1254)
139,tensor(0.1264)
140,tensor(0.1249)
141,tensor(0.1222)
142,tensor(0.1231)
143,tensor(0.1249)
144,tensor(0.1306)
145,tensor(0.1259)
146,tensor(0.1330)
147,tensor(0.1363)
148,tensor(0.1303)
149,tensor(0.1346)
150,tensor(0.1118)
151,tensor(0.1181)
152,tensor(0.0994)
153,tensor(0.1031)
154,tensor(0.1045)
155,tensor(0.1099)
156,tensor(0.1179)
157,tensor(0.1197)
158,tensor(0.1129)
159,tensor(0.1091)
160,tensor(0.1121)
161,tensor(0.1110)
162,tensor(0.1059)
163,tensor(0.1103)
164,tensor(0.1100)
165,tensor(0.1083)
166,tensor(0.1095)
167,tensor(0.1057)
168,tensor(0.1066)
169,tensor(0.1042)
170,tensor(0.1053)
171,tensor(0.1165)
172,tensor(0.1164)
173,tensor(0.1219)
174,tensor(0.1203)
175,tensor(0.1225)
176,tensor(0.1164)
177,tensor(0.1116)
178,tensor(0.1184)
179,tensor(0.1170)
180,tensor(0.1166)
181,tensor(0.1129)
182,tensor(0.1152)
183,tensor(0.1136)
184,tensor(0.1191)
185,tensor(0.1195)
186,tensor(0.1218)
187,tensor(0.1307)
188,tensor(0.1304)
189,tensor(0.1252)
190,tensor(0.1375)
191,tensor(0.1412)
192,tensor(0.1392)
193,tensor(0.1355)
194,tensor(0.1372)
195,tensor(0.1381)
196,tensor(0.1428)
